总价,单价,小区名称,所在区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验码,用水类型,用电类型,燃气价格,别墅类型,区,板块,楼层位置,总楼层数,室数,厅数,厨数,卫数,人均面积,楼层密度,厅室比,卫室比,总房间数,单价等级,面积等级,区域均价,区域中位价,区域价格标准差,区域房源数,相对价格指数
340万,30350元/平米,东城阳光苑二期,鄞州区 邱隘,3室2厅1厨2卫,高楼层 (共17层),112.03㎡,平层,,板楼,南,钢混结构,毛坯,两梯三户,有,2021-06-12,商品房,2021-06-13,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202110283302120050,,,,,鄞州区,邱隘,高楼层,17,3,2,1,2,28.0075,6.223888888888889,0.5,0.5,7,3,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.2537946319640263
219万,29436元/平米,书香景苑一期,鄞州区 邱隘,2室2厅1厨1卫,中楼层 (共5层),74.40㎡,平层,,板楼,南,钢混结构,简装,一梯两户,无,2021-06-15,商品房,2021-06-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202106163302120106,,,,,鄞州区,邱隘,中楼层,5,2,2,1,1,24.8,12.4,0.6666666666666666,0.3333333333333333,5,3,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.8075912482356522
369万,32988元/平米,万科都心里,鄞州区 中河,3室2厅1厨2卫,中楼层 (共31层),111.86㎡,平层,85.00㎡,板楼,南,钢混结构,简装,两梯四户,有,2021-05-14,商品房,2019-09-20,普通住宅,满两年,非共有,有抵押 160万元,已上传房本照片,202105153302120007,,,,,鄞州区,中河,中楼层,31,3,2,1,2,27.965,3.495625,0.5,0.5,7,3,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.3607359388080167
440万,26419元/平米,缇郦苑,鄞州区 姜山,4室2厅1厨3卫,高楼层 (共6层),166.55㎡,跃层,,塔楼,东南,钢混结构,毛坯,一梯两户,暂无数据,2021-09-27,商品房,2020-03-31,普通住宅,满两年,非共有,无抵押,已上传房本照片,202205133302120004,,,,,鄞州区,姜山,高楼层,6,4,2,1,3,33.31,23.792857142857144,0.4,0.6,9,2,4,2711766.8711656444,2500000.0,1329556.3519404833,978,1.6225577590122693
254万,19285元/平米,白云二村小区,海曙区 白云,4室3厅1厨3卫,高楼层 (共7层),131.71㎡,复式,,板楼,南 北,混合结构,简装,一梯两户,无,2022-02-14,商品房,2001-11-30,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,201812033302030077,,,,,海曙区,白云,高楼层,7,4,3,1,3,26.342000000000002,16.46375,0.6,0.6,10,1,3,2048187.9432624113,1840000.0,968698.6620355729,564,1.24011996469145
260万,23507元/平米,华泰星城,鄞州区 姜山,3室2厅1厨2卫,中楼层 (共5层),110.61㎡,复式,,板楼,东南,钢混结构,精装,一梯两户,无,2021-05-08,商品房,2021-05-08,普通住宅,暂无数据,非共有,有抵押 110万元 鄞州银行 业主自还,已上传房本照片,202105083302120088,,,,,鄞州区,姜山,中楼层,5,3,2,1,2,27.6525,18.435,0.5,0.5,7,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,0.9587841303254319
490万,29174元/平米,金地国际花园,鄞州区 南部商务区,5室2厅1厨2卫,低楼层 (共21层),167.96㎡,平层,,板塔结合,南,钢混结构,简装,两梯两户,有,2020-05-21,商品房,2009-02-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202008143302120206,,,,,鄞州区,南部商务区,低楼层,21,5,2,1,2,27.993333333333336,7.634545454545455,0.3333333333333333,0.3333333333333333,9,3,4,2711766.8711656444,2500000.0,1329556.3519404833,978,1.8069393225363908
520万,32111元/平米,春江花城,鄞州区 中河,4室2厅1厨2卫,低楼层 (共11层),161.94㎡,平层,,板楼,南 北,钢混结构,精装,一梯两户,有,2020-08-26,商品房,2007-10-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202008273302120046,,,,,鄞州区,中河,低楼层,11,4,2,1,2,32.388,13.495,0.4,0.4,8,3,4,2711766.8711656444,2500000.0,1329556.3519404833,978,1.9175682606508637
400万,33207元/平米,荣安和院,鄞州区 中河,3室2厅1厨1卫,低楼层 (共11层),120.46㎡,平层,100.53㎡,板塔结合,南,钢混结构,其他,两梯三户,有,2021-05-08,商品房,2013-04-09,普通住宅,暂无数据,共有,有抵押,已上传房本照片,202105133302120057,,,,,鄞州区,中河,低楼层,11,3,2,1,1,30.115,10.038333333333332,0.5,0.25,6,3,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.475052508192972
460万,29363元/平米,春江花城,鄞州区 中河,4室2厅1厨2卫,低楼层 (共18层),156.66㎡,平层,,板楼,南,钢混结构,精装,一梯两户,有,2021-03-31,商品房,2007-09-20,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202004153302120164,,,,,鄞州区,中河,低楼层,18,4,2,1,2,31.332,8.245263157894737,0.4,0.4,8,3,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.6963103844219178
223万,14257元/平米,四方家园,北仑区 戚家山,3室2厅1厨1卫,高楼层 (共6层),156.42㎡,复式,,板塔结合,东南,钢混结构,其他,一梯两户,无,2020-10-02,商品房,2006-10-06,普通住宅,暂无数据,共有,无抵押,已上传房本照片,201812013302060009,,,,,北仑区,戚家山,高楼层,6,3,2,1,1,39.105,22.345714285714283,0.5,0.25,6,1,3,1875364.5484949832,1800000.0,855438.6591359673,299,1.18910150705798
560万,40115元/平米,颐璟园三期,鄞州区 潘火,3室2厅1厨2卫,高楼层 (共33层),139.60㎡,平层,,板楼,南,钢混结构,毛坯,一梯两户,有,2019-07-10,商品房,2019-05-30,普通住宅,暂无数据,非共有,有抵押 140万元 客户偿还,已上传房本照片,201907113302120164,,,,,鄞州区,潘火,高楼层,33,3,2,1,2,34.9,4.105882352941176,0.5,0.5,7,4,3,2711766.8711656444,2500000.0,1329556.3519404833,978,2.065073511470161
445万,32654元/平米,东湖花园二期,鄞州区 中河,4室2厅1厨2卫,高楼层 (共7层),136.28㎡,平层,,板楼,南,钢混结构,精装,一梯两户,有,2021-08-08,商品房,2013-08-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202108083302120004,,,,,鄞州区,中河,高楼层,7,4,2,1,2,27.256,17.035,0.4,0.4,8,3,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.6409959153646814
320万,37136元/平米,盛世天城一期,鄞州区 中河,2室2厅1厨1卫,高楼层 (共24层),86.17㎡,平层,65.09㎡,板楼,南,钢混结构,其他,两梯三户,有,2021-07-14,商品房,2013-05-16,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,202006253302120022,,,,,鄞州区,中河,高楼层,24,2,2,1,1,28.723333333333333,3.4468,0.6666666666666666,0.3333333333333333,5,4,1,2711766.8711656444,2500000.0,1329556.3519404833,978,1.1800420065543777
260万,23507元/平米,华泰星城,鄞州区 姜山,3室2厅1厨2卫,中楼层 (共5层),110.61㎡,复式,,板楼,东南,钢混结构,精装,一梯两户,无,2021-05-08,商品房,2021-05-08,普通住宅,暂无数据,非共有,有抵押 110万元 鄞州银行 业主自还,已上传房本照片,202105083302120088,,,,,鄞州区,姜山,中楼层,5,3,2,1,2,27.6525,18.435,0.5,0.5,7,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,0.9587841303254319
560万,40115元/平米,颐璟园三期,鄞州区 潘火,3室2厅1厨2卫,高楼层 (共33层),139.60㎡,平层,,板楼,南,钢混结构,毛坯,一梯两户,有,2019-07-10,商品房,2019-05-30,普通住宅,暂无数据,非共有,有抵押 140万元 客户偿还,已上传房本照片,201907113302120164,,,,,鄞州区,潘火,高楼层,33,3,2,1,2,34.9,4.105882352941176,0.5,0.5,7,4,3,2711766.8711656444,2500000.0,1329556.3519404833,978,2.065073511470161
223万,14257元/平米,四方家园,北仑区 戚家山,3室2厅1厨1卫,高楼层 (共6层),156.42㎡,复式,,板塔结合,东南,钢混结构,其他,一梯两户,无,2020-10-02,商品房,2006-10-06,普通住宅,暂无数据,共有,无抵押,已上传房本照片,201812013302060009,,,,,北仑区,戚家山,高楼层,6,3,2,1,1,39.105,22.345714285714283,0.5,0.25,6,1,3,1875364.5484949832,1800000.0,855438.6591359673,299,1.18910150705798
490万,29174元/平米,金地国际花园,鄞州区 南部商务区,5室2厅1厨2卫,低楼层 (共21层),167.96㎡,平层,,板塔结合,南,钢混结构,简装,两梯两户,有,2020-05-21,商品房,2009-02-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202008143302120206,,,,,鄞州区,南部商务区,低楼层,21,5,2,1,2,27.993333333333336,7.634545454545455,0.3333333333333333,0.3333333333333333,9,3,4,2711766.8711656444,2500000.0,1329556.3519404833,978,1.8069393225363908
520万,32111元/平米,春江花城,鄞州区 中河,4室2厅1厨2卫,低楼层 (共11层),161.94㎡,平层,,板楼,南 北,钢混结构,精装,一梯两户,有,2020-08-26,商品房,2007-10-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202008273302120046,,,,,鄞州区,中河,低楼层,11,4,2,1,2,32.388,13.495,0.4,0.4,8,3,4,2711766.8711656444,2500000.0,1329556.3519404833,978,1.9175682606508637
380万,27463元/平米,中海国际社区五期,鄞州区 下应,5室2厅1厨2卫,中楼层 (共33层),138.37㎡,平层,,板楼,南,钢混结构,简装,两梯三户,有,2023-04-20,商品房,2017-05-20,普通住宅,暂无数据,共有,有抵押 30万元 业主自还,已上传房本照片,202304203302120062,,,,,鄞州区,下应,中楼层,33,5,2,1,2,23.061666666666667,4.069705882352942,0.3333333333333333,0.3333333333333333,9,3,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.4012998827833234
608万,37638元/平米,中南菩悦锦庭,海曙区 石碶,5室1厅1厨4卫,高楼层 (共4层),161.54㎡,复式,,板楼,南,钢混结构,毛坯,一梯七户,无,2023-04-25,商品房,2019-04-25,普通住宅,暂无数据,共有,有抵押,已上传房本照片,202009063302030037,,,,,海曙区,石碶,高楼层,4,5,1,1,4,26.923333333333332,32.308,0.16666666666666666,0.6666666666666666,10,4,4,2048187.9432624113,1840000.0,968698.6620355729,564,2.9684761359543375
157万,11733元/平米,滨江诺德学府,奉化区 奉化区,4室2厅1厨2卫,低楼层 (共32层),133.82㎡,平层,,板楼,南,钢混结构,其他,两梯四户,有,2021-04-28,商品房,2021-04-28,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,202104283302830014,,,,,奉化区,奉化区,低楼层,32,4,2,1,2,26.764,4.055151515151515,0.4,0.4,8,1,3,1278558.8235294118,1290000.0,384450.8928659952,68,1.2279441064134797
260万,20812元/平米,书香丽景,镇海区 庄市,4室1厅1厨1卫,低楼层 (共18层),124.93㎡,平层,99.48㎡,板塔结合,南,钢混结构,简装,两梯两户,有,2021-08-13,商品房,2018-07-18,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202009013302110034,,,,,镇海区,庄市,低楼层,18,4,1,1,1,24.986,6.575263157894737,0.2,0.2,6,2,2,2173067.729083665,1990000.0,977382.160362272,251,1.1964646884851922
249万,24615元/平米,华光城,鄞州区 福明,3室1厅1厨1卫,高楼层 (共6层),101.16㎡,平层,,板楼,南,钢混结构,其他,一梯两户,无,2020-10-11,商品房,2016-03-24,普通住宅,满五年,共有,有抵押,已上传房本照片,202010123302120086,,,,,鄞州区,福明,高楼层,6,3,1,1,1,25.29,14.45142857142857,0.25,0.25,5,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,0.9182201863501251
520万,26970元/平米,香堤水岸,鄞州区 南部商务区,5室2厅1厨3卫,高楼层 (共17层),192.81㎡,跃层,155.73㎡,板塔结合,南 北,钢混结构,其他,两梯两户,有,2023-06-22,商品房,2010-10-28,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202306223302120015,,,,,鄞州区,南部商务区,高楼层,17,5,2,1,3,32.135,10.711666666666666,0.3333333333333333,0.5,10,2,4,2711766.8711656444,2500000.0,1329556.3519404833,978,1.9175682606508637
250万,18627元/平米,宁大花园,镇海区 庄市,3室2厅1厨2卫,低楼层 (共10层),134.22㎡,平层,118.00㎡,板楼,南,框架结构,简装,一梯两户,有,2020-09-02,商品房,2008-09-10,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202009033302110046,,,,,镇海区,庄市,低楼层,10,3,2,1,2,33.555,12.201818181818181,0.5,0.5,7,1,3,2173067.729083665,1990000.0,977382.160362272,251,1.1504468158511463
425万,29054元/平米,银河湾,鄞州区 南部商务区,3室2厅1厨2卫,高楼层 (共17层),146.28㎡,平层,120.72㎡,板楼,南,钢混结构,其他,两梯两户,有,2021-09-09,商品房,2010-03-05,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202109153302120009,,,,,鄞州区,南部商务区,高楼层,17,3,2,1,2,36.57,8.126666666666667,0.5,0.5,7,3,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.5672432899550328
400万,39853元/平米,天欣家园,鄞州区 中河,3室2厅1厨1卫,高楼层 (共9层),100.37㎡,平层,,板塔结合,南,钢混结构,其他,一梯两户,有,2020-10-25,商品房,2019-01-05,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202010313302120007,,,,,鄞州区,中河,高楼层,9,3,2,1,1,25.0925,10.037,0.5,0.25,6,4,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.475052508192972
458万,36841元/平米,水韵江南,鄞州区 中河,3室2厅1厨2卫,高楼层 (共6层),124.32㎡,平层,112.04㎡,板楼,南,钢混结构,精装,一梯两户,无,2021-10-01,商品房,2010-10-28,普通住宅,暂无数据,非共有,有抵押 20万元 业主自还,已上传房本照片,202109263302120063,,,,,鄞州区,中河,高楼层,6,3,2,1,2,31.08,17.759999999999998,0.5,0.5,7,4,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.688935121880953
400万,39853元/平米,天欣家园,鄞州区 中河,3室2厅1厨1卫,高楼层 (共9层),100.37㎡,平层,,板塔结合,南,钢混结构,其他,一梯两户,有,2020-10-25,商品房,2019-01-05,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202010313302120007,,,,,鄞州区,中河,高楼层,9,3,2,1,1,25.0925,10.037,0.5,0.25,6,4,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.475052508192972
320万,28687元/平米,金家漕小区,鄞州区 长丰,3室2厅1厨1卫,中楼层 (共11层),111.55㎡,平层,,板楼,南,钢混结构,简装,一梯三户,有,2022-03-25,拆迁安置房,2019-03-25,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,201909293302120066,,,,,鄞州区,长丰,中楼层,11,3,2,1,1,27.8875,9.295833333333333,0.5,0.25,6,3,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.1800420065543777
310万,22736元/平米,东渡玺悦,镇海区 骆驼,4室2厅1厨2卫,低楼层 (共18层),136.35㎡,平层,,板楼,南,钢混结构,其他,一梯两户,暂无数据,2022-05-01,商品房,2020-11-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202302243302110053,,,,,镇海区,骆驼,低楼层,18,4,2,1,2,27.27,7.1763157894736835,0.4,0.4,8,2,3,2173067.729083665,1990000.0,977382.160362272,251,1.4265540516554214
182万,13753元/平米,南岸秀庭,北仑区 小港,4室2厅1厨2卫,低楼层 (共6层),132.34㎡,平层,,板楼,南,钢混结构,精装,一梯两户,无,2021-02-19,商品房,2019-02-12,普通住宅,满两年,共有,有抵押 80万元,已上传房本照片,20210807330206001078001A,,,,,北仑区,小港,低楼层,6,4,2,1,2,26.468,18.905714285714286,0.4,0.4,8,1,3,1875364.5484949832,1800000.0,855438.6591359673,299,0.9704774631594277
300万,33731元/平米,盛世天城二期,鄞州区 中河,2室2厅2厨1卫,中楼层 (共29层),88.94㎡,平层,70.60㎡,板楼,南,钢混结构,其他,两梯四户,有,2021-04-12,商品房,2012-07-26,普通住宅,暂无数据,非共有,有抵押 50万元,已上传房本照片,202104123302120122,,,,,鄞州区,中河,中楼层,29,2,2,2,1,29.646666666666665,2.9646666666666666,0.6666666666666666,0.3333333333333333,5,3,1,2711766.8711656444,2500000.0,1329556.3519404833,978,1.106289381144729
188万,15378元/平米,东岗碶新村,北仑区 小港,3室2厅1厨2卫,高楼层 (共6层),122.26㎡,平层,,板塔结合,南 北,钢混结构,精装,一梯两户,无,2023-04-07,商品房,2019-09-04,普通住宅,满两年,非共有,有抵押 80万元 中国银行 业主自还,已上传房本照片,20230404330206000412003A,,,,,北仑区,小港,高楼层,6,3,2,1,2,30.565,17.465714285714288,0.5,0.5,7,1,2,1875364.5484949832,1800000.0,855438.6591359673,299,1.002471225681167
370万,29238元/平米,江南春晓,鄞州区 福明,2室2厅1厨2卫,高楼层 (共6层),126.55㎡,平层,,板楼,南,钢混结构,其他,一梯两户,无,2022-10-22,商品房,2016-10-01,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,202109123302120029,,,,,鄞州区,福明,高楼层,6,2,2,1,2,42.18333333333333,18.07857142857143,0.6666666666666666,0.6666666666666666,6,3,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.3644235700784992
285万,17126元/平米,芳辰丽阳北园,镇海区 庄市,5室2厅1厨3卫,高楼层 (共5层),166.42㎡,复式,148.47㎡,板塔结合,南,钢混结构,其他,一梯两户,无,2022-12-08,商品房,2019-08-09,普通住宅,暂无数据,非共有,有抵押 客户偿还,已上传房本照片,202112173302110002,,,,,镇海区,庄市,高楼层,5,5,2,1,3,27.736666666666665,27.736666666666665,0.3333333333333333,0.5,10,1,4,2173067.729083665,1990000.0,977382.160362272,251,1.3115093700703069
118万,11289元/平米,康桥家园,慈溪市 慈溪其他,3室2厅1厨2卫,高楼层 (共6层),104.53㎡,复式,,暂无数据,南,未知结构,其他,一梯一户,暂无数据,2020-11-15,商品房,2018-08-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202012173302820037,,,,,慈溪市,慈溪其他,高楼层,6,3,2,1,2,26.1325,14.932857142857143,0.5,0.5,7,0,2,1587584.9056603773,1450000.0,685073.8431271552,53,0.7432668656183133
398万,29755元/平米,瀚宁府,镇海区 庄市,4室2厅1厨2卫,高楼层 (共16层),133.76㎡,平层,105.35㎡,板塔结合,南,钢混结构,其他,一梯两户,暂无数据,2023-02-07,商品房,2020-12-26,普通住宅,暂无数据,非共有,有抵押 170万元 招商银行 金融公司垫资,已上传房本照片,202303273302110015,,,,,镇海区,庄市,高楼层,16,4,2,1,2,26.752,7.868235294117646,0.4,0.4,8,3,3,2173067.729083665,1990000.0,977382.160362272,251,1.831511330835025
510万,38757元/平米,海志府,鄞州区 明楼,3室2厅1厨2卫,高楼层 (共26层),131.59㎡,平层,,板塔结合,南,钢混结构,精装,两梯两户,有,2023-02-23,商品房,2019-08-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,2020010333021200388,,,,,鄞州区,明楼,高楼层,26,3,2,1,2,32.8975,4.873703703703704,0.5,0.5,7,4,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.8806919479460393
258万,20282元/平米,首开龙湖春江郦城,镇海区 骆驼,4室2厅1厨2卫,低楼层 (共11层),127.21㎡,平层,,暂无数据,南,未知结构,其他,两梯两户,有,2023-04-18,商品房,2021-10-14,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,202310163302110045,,,,,镇海区,骆驼,低楼层,11,4,2,1,2,25.442,10.600833333333332,0.4,0.4,8,2,3,2173067.729083665,1990000.0,977382.160362272,251,1.187261113958383
109万,7791元/平米,合生杭州湾国际新城二期,杭州湾新区 杭州湾新区,3室2厅1厨2卫,低楼层 (共18层),139.91㎡,平层,,板塔结合,东 南,钢混结构,其他,两梯三户,有,2022-10-24,商品房,2018-10-28,普通住宅,暂无数据,共有,有抵押 50万元 工商50 业主自还,已上传房本照片,2021815330282010003,,,,,杭州湾新区,杭州湾新区,低楼层,18,3,2,1,2,34.9775,7.363684210526316,0.5,0.5,7,0,3,853969.1358024691,830000.0,286526.62766007404,162,1.2763912393443777
313万,22518元/平米,上城印象苑,镇海区 骆驼,3室2厅1厨2卫,中楼层 (共23层),139.00㎡,平层,,板楼,南 北,钢混结构,其他,两梯四户,有,2023-03-22,商品房,2019-05-26,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202303233302110024,,,,,镇海区,骆驼,中楼层,23,3,2,1,2,34.75,5.791666666666667,0.5,0.5,7,2,3,2173067.729083665,1990000.0,977382.160362272,251,1.4403594134456352
280万,20665元/平米,东桂新苑,镇海区 骆驼,3室1厅1厨2卫,低楼层 (共18层),135.50㎡,平层,,板楼,南,砖木结构,毛坯,一梯两户,暂无数据,2020-11-14,拆迁安置房,2020-10-27,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202103133302110011,,,,,镇海区,骆驼,低楼层,18,3,1,1,2,33.875,7.131578947368421,0.25,0.5,6,2,3,2173067.729083665,1990000.0,977382.160362272,251,1.288500433753284
155万,7953元/平米,揽月苑,杭州湾新区 杭州湾新区,3室2厅1厨2卫,低楼层 (共33层),194.91㎡,平层,,板楼,南,钢混结构,毛坯,两梯两户,有,2021-07-17,商品房,2017-10-11,普通住宅,暂无数据,非共有,有抵押 业主自还,已上传房本照片,20210718330282010010,,,,,杭州湾新区,杭州湾新区,低楼层,33,3,2,1,2,48.7275,5.732647058823529,0.5,0.5,7,0,4,853969.1358024691,830000.0,286526.62766007404,162,1.8150517623704452
380万,26500元/平米,院士花园,鄞州区 中河,3室2厅1厨2卫,低楼层 (共18层),143.40㎡,平层,,板楼,南,钢混结构,精装,两梯三户,有,2022-02-11,商品房,2009-06-06,普通住宅,暂无数据,非共有,有抵押 345万元,已上传房本照片,202003153302120010,,,,,鄞州区,中河,低楼层,18,3,2,1,2,35.85,7.5473684210526315,0.5,0.5,7,2,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.4012998827833234
510万,43173元/平米,凯旋明天,鄞州区 中河,3室2厅1厨2卫,高楼层 (共16层),118.13㎡,平层,,板楼,南,钢混结构,精装,两梯九户,有,2021-04-19,商品房,2016-09-14,普通住宅,暂无数据,非共有,有抵押 120万元 银行 客户偿还,已上传房本照片,202105173302120034,,,,,鄞州区,中河,高楼层,16,3,2,1,2,29.5325,6.948823529411764,0.5,0.5,7,4,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.8806919479460393
510万,38757元/平米,海志府,鄞州区 明楼,3室2厅1厨2卫,高楼层 (共26层),131.59㎡,平层,,板塔结合,南,钢混结构,精装,两梯两户,有,2023-02-23,商品房,2019-08-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,2020010333021200388,,,,,鄞州区,明楼,高楼层,26,3,2,1,2,32.8975,4.873703703703704,0.5,0.5,7,4,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.8806919479460393
220万,14010元/平米,东兴社区,鄞州区 下应,5室2厅1厨2卫,高楼层 (共7层),157.04㎡,复式,,板楼,南,钢混结构,毛坯,一梯两户,无,2022-07-28,商品房,2004-02-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202009113302120092,,,,,鄞州区,下应,高楼层,7,5,2,1,2,26.173333333333332,19.63,0.3333333333333333,0.3333333333333333,9,1,3,2711766.8711656444,2500000.0,1329556.3519404833,978,0.8112788795061346
420万,29913元/平米,香格里拉城市花园,鄞州区 长丰,8室1厅1厨2卫,高楼层 (共7层),140.41㎡,复式,,板楼,南 北,钢混结构,精装,一梯两户,无,2020-09-09,商品房,2017-01-02,普通住宅,暂无数据,共有,有抵押 业主自还,已上传房本照片,201910243302120052,,,,,鄞州区,长丰,高楼层,7,8,1,1,2,15.601111111111111,17.55125,0.1111111111111111,0.2222222222222222,11,3,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.5488051336026207
310万,22736元/平米,东渡玺悦,镇海区 骆驼,4室2厅1厨2卫,低楼层 (共18层),136.35㎡,平层,,板楼,南,钢混结构,其他,一梯两户,暂无数据,2022-05-01,商品房,2020-11-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202302243302110053,,,,,镇海区,骆驼,低楼层,18,4,2,1,2,27.27,7.1763157894736835,0.4,0.4,8,2,3,2173067.729083665,1990000.0,977382.160362272,251,1.4265540516554214
109万,7791元/平米,合生杭州湾国际新城二期,杭州湾新区 杭州湾新区,3室2厅1厨2卫,低楼层 (共18层),139.91㎡,平层,,板塔结合,东 南,钢混结构,其他,两梯三户,有,2022-10-24,商品房,2018-10-28,普通住宅,暂无数据,共有,有抵押 50万元 工商50 业主自还,已上传房本照片,2021815330282010003,,,,,杭州湾新区,杭州湾新区,低楼层,18,3,2,1,2,34.9775,7.363684210526316,0.5,0.5,7,0,3,853969.1358024691,830000.0,286526.62766007404,162,1.2763912393443777
210万,12723元/平米,东岗碶新村,北仑区 小港,4室2厅1厨2卫,高楼层 (共6层),165.06㎡,复式,,板塔结合,南 北,钢混结构,其他,一梯两户,无,2021-02-27,商品房,2021-02-27,普通住宅,满两年,共有,有抵押 公积金贷款 客户偿还,已上传房本照片,202109043302060004,,,,,北仑区,小港,高楼层,6,4,2,1,2,33.012,23.580000000000002,0.4,0.4,8,1,4,1875364.5484949832,1800000.0,855438.6591359673,299,1.1197816882608782
258万,20282元/平米,首开龙湖春江郦城,镇海区 骆驼,4室2厅1厨2卫,低楼层 (共11层),127.21㎡,平层,,暂无数据,南,未知结构,其他,两梯两户,有,2023-04-18,商品房,2021-10-14,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,202310163302110045,,,,,镇海区,骆驼,低楼层,11,4,2,1,2,25.442,10.600833333333332,0.4,0.4,8,2,3,2173067.729083665,1990000.0,977382.160362272,251,1.187261113958383
258万,21204元/平米,华泰星城,鄞州区 姜山,4室2厅1厨2卫,中楼层 (共5层),121.68㎡,平层,,板楼,南,钢混结构,精装,一梯两户,无,2021-08-15,商品房,2020-06-16,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,202208293302120041,,,,,鄞州区,姜山,中楼层,5,4,2,1,2,24.336000000000002,20.28,0.4,0.4,8,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,0.951408867784467
270万,18159元/平米,小城春秋,鄞州区 姜山,5室2厅1厨1卫,高楼层 (共6层),148.69㎡,复式,,板塔结合,南,钢混结构,毛坯,一梯两户,无,2021-10-28,商品房,2007-04-16,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202111143302120004,,,,,鄞州区,姜山,高楼层,6,5,2,1,1,24.781666666666666,21.24142857142857,0.3333333333333333,0.16666666666666666,8,1,3,2711766.8711656444,2500000.0,1329556.3519404833,978,0.9956604430302561
358万,34361元/平米,盛世天城二期,鄞州区 中河,3室1厅1厨1卫,中楼层 (共26层),104.19㎡,平层,,板楼,南,钢混结构,其他,两梯三户,有,2023-03-01,商品房,2011-12-29,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202104103302120124,,,,,鄞州区,中河,中楼层,26,3,1,1,1,26.0475,3.8588888888888886,0.25,0.25,5,3,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.32017199483271
355万,30604元/平米,同心苑(鄞州大道),鄞州区 南部商务区,3室2厅1厨1卫,低楼层 (共11层),116.00㎡,平层,97.63㎡,板楼,南,钢混结构,毛坯,一梯两户,有,2020-10-02,商品房,2010-07-01,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202004123302120090,,,,,鄞州区,南部商务区,低楼层,11,3,2,1,1,29.0,9.666666666666666,0.5,0.25,6,3,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.3091091010212628
