总价,单价,小区名称,所在区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验码,用水类型,用电类型,燃气价格,别墅类型 
119.5万,24122元/平米,星辰明珠,鄞州区 东柳 ,2室2厅1厨1卫,中楼层 (共17层),49.54㎡,复式,暂无数据,塔楼,南 北,钢混结构,精装,三梯三十四户,有,2023-10-12,商品房,2019-03-12,普通住宅,满两年,共有,有抵押,已上传房本照片,202310123302120060,None,None,None,None
155万,9128元/平米,溪上云庐,余姚市 余姚周边 ,4室2厅1厨3卫,中楼层 (共6层),169.82㎡,复式,暂无数据,暂无数据,南,未知结构,其他,一梯两户,暂无数据,2023-10-13,商品房,2023-09-20,普通住宅,未满两年,非共有,有抵押 130万元,已上传房本照片,202310133302810019,None,None,None,None
42万,6886元/平米,汀兰苑,杭州湾新区 杭州湾新区 ,1室1厅1厨1卫,高楼层 (共33层),61㎡,平层,暂无数据,板楼,东南,钢混结构,简装,两梯四户,有,2023-10-17,商品房,2023-10-17,普通住宅,未满两年,非共有,有抵押 30万元 光大银行 业主自还,已上传房本照片,20220109330282010004,None,None,None,None
61.5万,11859元/平米,宝业凤鸣壹号,北仑区 霞浦 ,1室1厅1厨1卫,高楼层 (共27层),51.86㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,五梯二十八户,有,2023-10-16,商品房,2023-05-06,商住两用,未满两年,非共有,无抵押,已上传房本照片,202309033302060031,未知,未知,None,None
150万,28238元/平米,徐家社区,鄞州区 明楼 ,2室1厅1厨1卫,中楼层 (共7层),53.12㎡,平层,46.19㎡,板楼,南,钢混结构,精装,一梯两户,无,2023-10-16,商品房,2023-10-16,普通住宅,未满两年,非共有,有抵押 20万元,已上传房本照片,20231018332120037,None,None,None,None
409万,38054元/平米,荣安弘阳姚江晴雨,江北区 姚江新区 ,3室2厅1厨2卫,高楼层 (共18层),107.48㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯四户,暂无数据,2023-10-10,商品房,2023-10-09,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202310103302050026,None,None,None,None
82万,12698元/平米,方阳秋棠苑,奉化区 方桥 ,1室1厅1厨1卫,高楼层 (共17层),64.58㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,一梯六户,暂无数据,2023-10-20,拆迁安置房,2023-10-20,普通住宅,未满两年,非共有,有抵押 业主自还,已上传房本照片,202302223301830012,None,None,None,None
152万,26275元/平米,三水湾,江北区 甬江 ,2室1厅1厨1卫,低楼层 (共11层),57.85㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯四户,有,2023-10-18,商品房,2023-10-18,普通住宅,未满两年,共有,无抵押,已上传房本照片,202309043302050026,None,None,None,None
245万,18959元/平米,怡景花园,鄞州区 百丈 ,3室2厅1厨1卫,中楼层 (共27层),129.23㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯六户,有,2023-05-18,商品房,2003-05-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202305193302120068,None,None,None,None
285万,27569元/平米,鸣柳苑,鄞州区 邱隘 ,3室2厅1厨2卫,高楼层 (共23层),103.38㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2023-09-12,商品房,2021-04-11,普通住宅,暂无数据,非共有,有抵押 150万元,已上传房本照片,202309133302120013,None,None,None,None
71.5万,6048元/平米,清芷园,杭州湾新区 杭州湾新区 ,3室2厅1厨1卫,低楼层 (共33层),118.23㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,2023-08-04,商品房,2017-09-11,普通住宅,暂无数据,共有,有抵押 59万元 慈溪邮政,已上传房本照片,20221123330282010003,None,None,None,None
618万,44570元/平米,姚江湾2期天源,江北区 江北万达 ,4室2厅1厨2卫,高楼层 (共24层),138.66㎡,平层,138.66㎡,板楼,南,钢混结构,精装,一梯两户,有,2023-03-02,商品房,2021-09-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202303023302050032,None,None,None,None
185万,19759元/平米,横河家园,海曙区 高桥 ,3室1厅1厨1卫,低楼层 (共18层),93.63㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2023-08-22,拆迁安置房,2018-05-11,普通住宅,满五年,共有,有抵押 40万元 业主自还,已上传房本照片,202209173302030025,None,None,None,None
138万,11742元/平米,恒大山水城明苑,镇海区 九龙湖 ,3室1厅1厨2卫,高楼层 (共26层),117.53㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯八户,有,2023-07-23,商品房,2019-09-24,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202202123302110007,None,None,None,None
305万,28837元/平米,鸣柳苑,鄞州区 邱隘 ,3室2厅1厨2卫,低楼层 (共18层),105.77㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,2023-07-09,商品房,2021-07-01,普通住宅,满两年,共有,无抵押,已上传房本照片,202308023302120050,None,None,None,None
428万,30892元/平米,姚景花园,江北区 江北万达 ,4室1厅1厨2卫,低楼层 (共11层),138.55㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,2023-02-08,商品房,2019-02-10,普通住宅,暂无数据,非共有,有抵押 400万元,已上传房本照片,202302093302050025,None,None,None,None
235万,17153元/平米,钱湖景苑,鄞州区 东钱湖 ,3室2厅1厨2卫,高楼层 (共9层),137.01㎡,平层,119.98㎡,板楼,南 北,砖混结构,毛坯,一梯两户,有,2022-07-05,商品房,2010-03-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,202105253302120107,None,None,None,None
138万,11127元/平米,万科未来水岸,奉化区 奉化区 ,4室2厅1厨2卫,低楼层 (共9层),124.03㎡,平层,106.21㎡,板楼,南,钢混结构,精装,一梯六户,暂无数据,2020-12-29,商品房,2021-05-11,普通住宅,暂无数据,非共有,有抵押 100万元,已上传房本照片,202105113302830025,None,None,None,None
400万,33665元/平米,融创东投悦之湾,鄞州区 高新区 ,3室2厅1厨2卫,中楼层 (共18层),118.82㎡,平层,92.22㎡,板楼,东 东南 南,钢混结构,精装,两梯两户,有,2023-09-16,商品房,2019-07-19,普通住宅,暂无数据,非共有,有抵押 100万元 农业银行 客户偿还,已上传房本照片,202309193302120041,None,None,None,None
453万,32409元/平米,融创涌宁府,鄞州区 下应 ,4室2厅1厨2卫,高楼层 (共32层),139.78㎡,平层,102.56㎡,板楼,南,钢混结构,精装,两梯两户,有,2023-08-21,商品房,2020-11-29,普通住宅,满两年,非共有,无抵押,已上传房本照片,202308213302120073,None,None,None,None
110万,11170元/平米,未来风景里,奉化区 奉化区 ,3室2厅1厨2卫,高楼层 (共26层),98.48㎡,平层,暂无数据,板塔结合,南,框架结构,毛坯,两梯两户,有,2023-08-29,商品房,2021-08-15,普通住宅,满两年,非共有,无抵押,已上传房本照片,202308303302830005,None,None,None,None
255.6万,19838元/平米,紫郡,鄞州区 潘火 ,3室1厅1厨2卫,高楼层 (共18层),128.85㎡,平层,102.82㎡,板楼,南,钢混结构,其他,两梯三户,有,2023-09-08,商品房,2009-12-04,普通住宅,满五年,共有,无抵押,已上传房本照片,202108013302120074,None,None,None,None
65万,13092元/平米,振邦学仕汇,鄞州区 南部商务区 ,2室2厅1厨1卫,中楼层 (共15层),49.65㎡,复式,34.24㎡,塔楼,西,钢混结构,精装,两梯九户,有,2023-04-05,商品房,2013-12-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202305043302120028,None,None,None,None
140万,15090元/平米,宁南新城盈园,奉化区 方桥 ,3室2厅1厨1卫,中楼层 (共18层),92.78㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯四户,暂无数据,2022-05-29,商品房,2019-05-29,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,202205303302830004,None,None,None,None
110万,8388元/平米,融创杭州湾壹号澜璟园,杭州湾新区 杭州湾新区 ,4室2厅1厨2卫,低楼层 (共8层),131.15㎡,平层,暂无数据,暂无数据,南,框架结构,毛坯,一梯两户,暂无数据,2023-04-11,商品房,2019-04-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,20230411330282010021,None,None,None,None
135万,11841元/平米,黄金海岸五期,北仑区 新碶 ,3室2厅1厨1卫,中楼层 (共11层),114.02㎡,平层,88.46㎡,板塔结合,南,钢混结构,精装,两梯七户,有,2023-06-24,商品房,2021-02-04,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202307043302060019,None,None,None,None
198万,15591元/平米,宁大花园,镇海区 庄市 ,3室2厅1厨2卫,中楼层 (共6层),127㎡,平层,暂无数据,板楼,南,框架结构,精装,一梯两户,无,2023-08-16,商品房,2015-08-16,普通住宅,满五年,共有,无抵押,已上传房本照片,202308163302110016,None,None,None,None
135万,19250元/平米,联南花园,海曙区 白云 ,2室2厅1厨1卫,高楼层 (共4层),70.13㎡,平层,暂无数据,暂无数据,南,混合结构,精装,一梯两户,暂无数据,2023-02-27,商品房,1998-02-27,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202301313302030017,None,None,None,None
110万,8602元/平米,南洋时光里,杭州湾新区 杭州湾新区 ,3室2厅1厨2卫,中楼层 (共10层),127.89㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,2023-09-15,商品房,2020-10-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,20231014330282010003,None,None,None,None
256万,24616元/平米,万科白石湖东,鄞州区 东钱湖 ,3室2厅1厨2卫,高楼层 (共6层),104㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,一梯两户,暂无数据,2023-07-01,商品房,2021-09-24,普通住宅,满两年,非共有,有抵押 80万元 业主自还,已上传房本照片,202307013402120053,None,None,None,None
235万,7609元/平米,诺顶庄园,余姚市 余姚周边 ,6室2厅2厨3卫,低楼层 (共3层),308.88㎡,复式,308.88㎡,暂无数据,南,未知结构,毛坯,一梯两户,暂无数据,2021-10-13,商品房,2018-10-11,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202109223302810011,None,None,None,None
200万,25420元/平米,都市丽湾,鄞州区 首南 ,2室1厅1厨1卫,中楼层 (共11层),78.68㎡,平层,67.53㎡,板塔结合,南,钢混结构,精装,一梯四户,有,2023-05-19,商品房,2013-04-10,普通住宅,暂无数据,非共有,有抵押 50万元 业主自还,已上传房本照片,202301073302120016,None,None,None,None
309万,33176元/平米,和园(北仑区),北仑区 新碶 ,3室1厅1厨1卫,中楼层 (共11层),93.14㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,一梯两户,有,2023-05-09,商品房,2020-05-20,普通住宅,满两年,共有,无抵押,已上传房本照片,202305043302060021,None,None,None,None
306万,24158元/平米,星旅城一期,江北区 洪塘 ,4室2厅1厨2卫,中楼层 (共7层),126.67㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯两户,有,2023-09-07,商品房,2019-12-31,普通住宅,满两年,非共有,有抵押,已上传房本照片,202202093302050015,None,None,None,None
150万,14286元/平米,湖畔樾山,江北区 慈城 ,3室2厅1厨2卫,高楼层 (共14层),105㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯两户,暂无数据,2023-02-11,商品房,2021-07-14,普通住宅,暂无数据,共有,有抵押 120万元,已上传房本照片,202307303302050011,None,None,None,None
670万,48534元/平米,姚江金茂府,江北区 姚江新区 ,4室2厅1厨2卫,高楼层 (共12层),138.05㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,暂无数据,2023-08-10,商品房,2020-08-31,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202308103302050022,None,None,None,None
65万,6786元/平米,汀兰苑,杭州湾新区 杭州湾新区 ,2室2厅1厨1卫,中楼层 (共33层),95.79㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,2023-05-23,商品房,2017-04-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,20230523330282010007,None,None,None,None
215万,21046元/平米,星旅城二期,江北区 洪塘 ,3室2厅1厨2卫,中楼层 (共25层),102.16㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2023-02-09,商品房,2020-05-01,普通住宅,满两年,非共有,有抵押 客户偿还,已上传房本照片,202305183302050022,None,None,None,None
238万,21819元/平米,东城阳光苑,鄞州区 邱隘 ,3室2厅1厨2卫,低楼层 (共17层),109.08㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2023-03-08,商品房,2019-03-02,普通住宅,满两年,非共有,有抵押 90万元,已上传房本照片,202303113302120062,None,None,None,None
279万,26459元/平米,鸣柳苑,鄞州区 邱隘 ,3室2厅1厨2卫,高楼层 (共30层),105.45㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯两户,有,2022-11-19,商品房,2021-03-26,普通住宅,暂无数据,共有,有抵押,已上传房本照片,202306223302120019,None,None,None,None
78.5万,8825元/平米,听海苑,杭州湾新区 杭州湾新区 ,3室2厅1厨1卫,高楼层 (共27层),88.96㎡,平层,暂无数据,板楼,南,钢混结构,精装,四梯四户,有,2023-06-23,商品房,2020-07-02,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,20230623330282010004,None,None,None,None
190万,22547元/平米,中山小区南区,镇海区 招宝山 ,3室1厅1厨1卫,高楼层 (共6层),84.27㎡,复式,6.31㎡,板塔结合,南,钢混结构,精装,一梯两户,无,2023-04-12,商品房,2001-06-10,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"房源核验码：
202304163302110018",None,None,None,None
189万,21490元/平米,银亿朗境府,海曙区 高桥 ,3室2厅1厨1卫,低楼层 (共34层),87.95㎡,平层,66.43㎡,塔楼,南,框架结构,精装,一梯两户,有,2022-10-28,商品房,2020-02-23,普通住宅,暂无数据,共有,有抵押 95万元 业主自还,已上传房本照片,202211073302030050,None,None,None,None
95万,9358元/平米,赏江苑,杭州湾新区 杭州湾新区 ,3室2厅1厨1卫,中楼层 (共25层),101.52㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,2021-11-18,商品房,2020-05-18,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,20220607330282010003,None,None,None,None
138万,15525元/平米,宋都江宸府,奉化区 奉化区 ,3室2厅1厨1卫,高楼层 (共32层),88.89㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,一梯两户,暂无数据,2022-11-01,商品房,2021-03-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202211023302830009,None,None,None,None
280万,25128元/平米,荣安诚品园,海曙区 高桥 ,3室1厅1厨2卫,中楼层 (共26层),111.43㎡,平层,暂无数据,板塔结合,南,框架结构,精装,一梯两户,有,2023-07-29,商品房,2019-07-30,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202203153302030079,None,None,None,None
300万,23833元/平米,中海国际社区五期,鄞州区 下应 ,3室2厅1厨2卫,中楼层 (共30层),125.88㎡,平层,暂无数据,板楼,南 东南,钢混结构,简装,两梯四户,有,2023-09-14,商品房,2017-09-15,普通住宅,满五年,非共有,有抵押 80万元 业主自还,已上传房本照片,202309143302120064,None,None,None,None
212万,20387元/平米,万科未来之光,北仑区 小港 ,3室2厅1厨2卫,高楼层 (共23层),103.99㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,2023-06-20,商品房,2021-03-15,普通住宅,暂无数据,非共有,有抵押 100万元,已上传房本照片,202306173302060022,None,None,None,None
91万,10341元/平米,未来风景里,奉化区 奉化区 ,3室2厅1厨1卫,中楼层 (共26层),88㎡,平层,暂无数据,板塔结合,南,框架结构,毛坯,一梯两户,有,2022-04-08,商品房,2021-07-01,普通住宅,暂无数据,非共有,有抵押 业主自还,已上传房本照片,202204153302830002,None,None,None,None
195万,17318元/平米,逸嘉新园北区,江北区 洪塘 ,3室2厅1厨1卫,中楼层 (共14层),112.6㎡,平层,89.87㎡,板楼,南,钢混结构,毛坯,两梯三户,有,2022-06-17,商品房,2010-08-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,202206173302050015,None,None,None,None
265万,25749元/平米,景瑞缇香郡,鄞州区 姜山 ,3室2厅1厨2卫,高楼层 (共25层),102.92㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2023-04-25,商品房,2018-12-12,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202304253302120038,None,None,None,None
255万,29047元/平米,万科传奇里,鄞州区 潘火 ,3室2厅1厨1卫,高楼层 (共33层),87.79㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2023-08-21,商品房,2016-10-01,普通住宅,满五年,非共有,有抵押 48万元,已上传房本照片,202308193302120067,None,None,None,None
580万,47923元/平米,一品滨江湾,鄞州区 长丰 ,3室2厅1厨2卫,中楼层 (共11层),121.03㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,2022-12-16,商品房,2020-09-28,普通住宅,满两年,非共有,无抵押,已上传房本照片,202212083302120003,None,None,None,None
91万,6667元/平米,清芷园,杭州湾新区 杭州湾新区 ,3室2厅1厨1卫,中楼层 (共26层),136.5㎡,平层,108㎡,板楼,南,钢混结构,精装,两梯三户,有,2022-09-20,商品房,2017-04-28,普通住宅,暂无数据,非共有,有抵押 业主自还,已上传房本照片,20220929330282010002,None,None,None,None
255万,29047元/平米,万科传奇里,鄞州区 潘火 ,3室2厅1厨1卫,高楼层 (共33层),87.79㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2023-08-21,商品房,2016-10-01,普通住宅,满五年,非共有,有抵押 48万元,已上传房本照片,202308193302120067,None,None,None,None
580万,47923元/平米,一品滨江湾,鄞州区 长丰 ,3室2厅1厨2卫,中楼层 (共11层),121.03㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,2022-12-16,商品房,2020-09-28,普通住宅,满两年,非共有,无抵押,已上传房本照片,202212083302120003,None,None,None,None
91万,6667元/平米,清芷园,杭州湾新区 杭州湾新区 ,3室2厅1厨1卫,中楼层 (共26层),136.5㎡,平层,108㎡,板楼,南,钢混结构,精装,两梯三户,有,2022-09-20,商品房,2017-04-28,普通住宅,暂无数据,非共有,有抵押 业主自还,已上传房本照片,20220929330282010002,None,None,None,None
368万,27063元/平米,水岸心境,海曙区 望春 ,3室2厅1厨1卫,中楼层 (共18层),135.98㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯三户,无,2022-10-27,商品房,2020-09-16,普通住宅,满两年,非共有,无抵押,已上传房本照片,202210273302030020,None,None,None,None
188万,14726元/平米,钱湖人家,鄞州区 东钱湖 ,3室2厅1厨2卫,低楼层 (共6层),127.67㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯两户,无,2022-09-18,拆迁安置房,2021-04-18,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202209183302120062,None,None,None,None
245万,22170元/平米,天一家园二期,海曙区 望春 ,3室2厅1厨2卫,低楼层 (共7层),110.51㎡,平层,暂无数据,板楼,南,砖混结构,其他,一梯两户,暂无数据,2023-07-24,商品房,2003-07-29,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202307243302030056,None,None,None,None
305万,34605元/平米,雅戈尔锦绣东城,鄞州区 东部新城 ,3室2厅1厨1卫,高楼层 (共11层),88.14㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯三户,有,2022-12-05,商品房,2011-03-10,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,202207273302120069,None,None,None,None
240万,18353元/平米,万科·未来里,北仑区 小港 ,4室2厅1厨2卫,中楼层 (共27层),130.77㎡,平层,暂无数据,板塔结合,南,框架结构,精装,一梯一户,暂无数据,2023-07-11,商品房,2021-07-05,普通住宅,暂无数据,非共有,有抵押 130万元 中国银行 业主自还,已上传房本照片,202307123302060020,None,None,None,None
193万,23991元/平米,陆嘉家园,鄞州区 新明 ,3室2厅1厨1卫,低楼层 (共7层),80.45㎡,平层,69.23㎡,板楼,南,钢混结构,精装,一梯两户,无,2023-09-13,拆迁安置房,2016-02-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,202309133302120078,None,None,None,None
148万,21746元/平米,泗港小区,鄞州区 潘火 ,2室1厅1厨1卫,低楼层 (共6层),68.06㎡,平层,61.72㎡,板楼,南,钢混结构,精装,一梯两户,无,2023-09-09,商品房,2019-11-19,普通住宅,满两年,非共有,无抵押,已上传房本照片,202309103302120008,None,None,None,None
265万,19694元/平米,保亿丽景英郡,镇海区 骆驼 ,3室2厅1厨2卫,低楼层 (共18层),134.56㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,2023-09-16,商品房,2019-05-16,普通住宅,暂无数据,共有,有抵押 120万元,已上传房本照片,202111023302110008,None,None,None,None
168万,18908元/平米,绿城深蓝公寓,鄞州区 高新区 ,3室2厅1厨1卫,低楼层 (共16层),88.85㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2023-02-13,商品房,2018-02-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,202302133302120016,None,None,None,None
129万,18570元/平米,银凤晓月绿苑,镇海区 蛟川 ,2室2厅1厨1卫,高楼层 (共11层),69.47㎡,平层,54.56㎡,塔楼,南,钢混结构,精装,一梯两户,无,2023-03-10,商品房,2019-04-24,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202303113302110027,None,None,None,None
216万,22496元/平米,天沁家园,江北区 江北万达 ,3室2厅1厨1卫,低楼层 (共18层),96.02㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,2023-04-02,商品房,2018-04-11,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,202304033302050004,None,None,None,None
286万,24673元/平米,中骏合景府,北仑区 新碶 ,4室2厅1厨2卫,高楼层 (共26层),115.92㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,一梯四户,暂无数据,2023-05-28,商品房,2021-05-25,普通住宅,暂无数据,非共有,有抵押 100万元,已上传房本照片,202309173302060013,None,None,None,None
135万,12635元/平米,赛格特东城名苑,余姚市 余姚周边 ,3室1厅1厨1卫,低楼层 (共18层),106.85㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯两户,有,2023-02-25,商品房,2019-05-10,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202203083302810006,None,None,None,None
199万,16464元/平米,江南水岸,海曙区 高桥 ,3室2厅1厨2卫,中楼层 (共11层),120.87㎡,平层,102.01㎡,板塔结合,南,钢混结构,毛坯,两梯六户,有,2021-07-12,拆迁安置房,2021-06-20,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202107133302030044,None,None,None,None
205万,19573元/平米,万科未来之光,北仑区 小港 ,3室2厅1厨1卫,低楼层 (共22层),104.74㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,2022-09-26,商品房,2021-01-04,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,202301073302060009,None,None,None,None
126万,12391元/平米,宁波恒大溪上桃花源,奉化区 奉化区 ,3室2厅1厨1卫,高楼层 (共14层),101.69㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯一户,有,2022-03-19,商品房,2020-10-20,普通住宅,暂无数据,非共有,有抵押 60万元,已上传房本照片,20220320330283000916001A,None,None,None,None
205万,14712元/平米,尚源佳苑,慈溪市 城西 ,3室2厅1厨2卫,中楼层 (共17层),139.35㎡,平层,107.87㎡,板塔结合,南,框架结构,精装,两梯两户,有,2023-04-12,商品房,2016-02-04,普通住宅,满五年,共有,无抵押,已上传房本照片,202304123302820021,None,None,None,None
172万,13554元/平米,绿城皇冠花园三期,鄞州区 高新区 ,3室2厅1厨1卫,低楼层 (共17层),126.9㎡,平层,85.63㎡,板楼,南 北,钢混结构,精装,两梯三户,有,2023-04-12,商品房,2013-09-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,2020006033302120222,None,None,None,None
253万,28488元/平米,鸣柳苑,鄞州区 邱隘 ,3室2厅1厨1卫,低楼层 (共30层),88.81㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,暂无数据,2023-07-03,商品房,2021-07-01,普通住宅,满两年,非共有,无抵押,已上传房本照片,202307073302120056,None,None,None,None
315万,22795元/平米,富力御官山,江北区 慈城 ,4室3厅1厨3卫,中楼层 (共5层),138.19㎡,复式,暂无数据,暂无数据,南,未知结构,毛坯,一梯两户,暂无数据,2022-12-05,商品房,2021-03-04,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,202303053302050025,None,None,None,None
100万,16135元/平米,亚洲之窗,鄞州区 南部商务区 ,2室1厅1厨1卫,中楼层 (共22层),61.98㎡,复式,暂无数据,塔楼,南,钢混结构,精装,八梯三十九户,有,2023-05-20,商品房,2018-05-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,202305223302120012,None,None,None,None
175万,16257元/平米,雪鹭院,江北区 慈城 ,3室2厅1厨1卫,高楼层 (共6层),107.65㎡,平层,96.04㎡,板塔结合,南,钢混结构,精装,一梯两户,暂无数据,2023-08-22,商品房,2014-09-23,普通住宅,暂无数据,共有,有抵押,已上传房本照片,202308223302050009,None,None,None,None
238万,20355元/平米,奥园誉景湾花苑,北仑区 小港 ,3室2厅1厨1卫,中楼层 (共8层),116.93㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,暂无数据,2022-04-20,商品房,2021-04-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202304083302060013,None,None,None,None
39万,8125元/平米,利时金融大厦,鄞州区 南部商务区 ,1室1厅1厨1卫,低楼层 (共21层),48㎡,平层,33.4㎡,板塔结合,北,钢混结构,精装,四梯二十四户,有,2023-08-07,商品房,2018-08-17,商住两用,暂无数据,非共有,有抵押 12万元 业主自还,已上传房本照片,202308063302120046,商水,民电,None,None
228万,20924元/平米,星旅城二期,江北区 洪塘 ,3室2厅1厨2卫,中楼层 (共26层),108.97㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,暂无数据,2022-11-13,商品房,2020-11-13,普通住宅,满两年,非共有,无抵押,已上传房本照片,202212033302050004,None,None,None,None
209万,22481元/平米,蔚蓝城市花园,镇海区 庄市 ,3室2厅1厨1卫,低楼层 (共19层),92.97㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,一梯四户,暂无数据,2023-03-01,商品房,2021-08-30,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202308303302110019,None,None,None,None
240万,24063元/平米,浪琴海,鄞州区 新明 ,3室1厅1厨1卫,低楼层 (共11层),99.74㎡,平层,82.1㎡,板塔结合,南,钢混结构,精装,一梯两户,有,2022-10-24,商品房,2014-09-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,202210283302120100,None,None,None,None
110.8万,8489元/平米,融创杭州湾壹号澜璟园,杭州湾新区 杭州湾新区 ,4室2厅2厨1卫,低楼层 (共7层),130.53㎡,平层,110.82㎡,暂无数据,南,未知结构,毛坯,一梯四户,暂无数据,2023-07-04,商品房,2021-07-05,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,20230705330282010011,None,None,None,None
106万,14189元/平米,前程智慧城,鄞州区 高新区 ,3室1厅1厨2卫,低楼层 (共18层),74.71㎡,复式,51.54㎡,板楼,南,钢混结构,精装,一梯八户,有,2023-08-12,商品房,2016-05-30,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202304253302120081,None,None,None,None
90万,8142元/平米,御海苑,杭州湾新区 杭州湾新区 ,3室2厅1厨2卫,高楼层 (共32层),110.54㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,2023-03-30,商品房,2020-04-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,20230401330282010001,None,None,None,None
